person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y,Actual_Default,Predicted_Default,Risk_Score,Loan_Grade,Home_Ownership,Loan_Intent
25,107000,0.0,7000,12.87,0.07,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0,0,0.0610717754485576,C,MORTGAGE,MEDICAL
29,75000,2.0,8000,12.99,0.11,10,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0,0,0.0813787024448501,C,MORTGAGE,MEDICAL
23,72000,4.0,15000,6.99,0.21,2,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0,0,0.0074231388909921,A,OWN,PERSONAL
22,29000,6.0,10000,7.29,0.34,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1,1,0.5873372774321115,A,RENT,MEDICAL
23,28000,0.0,3000,10.25,0.11,4,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0,0.2112377082050136,B,RENT,DEBTCONSOLIDATION
22,63000,6.0,10800,5.99,0.17,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0,0,0.0566575786239888,A,MORTGAGE,MEDICAL
26,48000,7.0,16750,14.26,0.35,3,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0.4973009297325239,C,MORTGAGE,HOMEIMPROVEMENT
41,33150,5.0,11500,12.98,0.35,15,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1,0.5896824596890619,C,RENT,EDUCATION
25,66252,10.0,5000,12.53,0.08,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0,0,0.012416049753071,C,OWN,MEDICAL
30,40750,2.0,3000,15.28,0.07,10,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,1,0.6688066347405436,D,RENT,DEBTCONSOLIDATION
